algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
0,11,50,30,-500,500,-10548.1, 467.786, 2053.15, -10556.7, 11719.8, -11534.6, -9481.41, 
7,15,50,30,-100,100,9271.29, 5967.71, 25013.4, 7254.15, 2916.06, 3198.23, 28211.7, 
10,14,50,30,-30,30,-3.52937, 0.329662, 1.42225, -3.49533, 7180.62, -4.27795, -2.8557, 
8,18,50,30,-100,100,32.9468, 17.9531, 80.5843, 25.7605, 4330.78, 10.0108, 90.5951, 
6,14,50,30,-30,30,-4.10168, 0.432641, 2.22974, -4.06114, 6640.15, -5.56372, -3.33398, 
4,12,50,30,-100,100,8.20424, 1.2487, 5.11346, 8.25975, 6573.88, 5.43546, 10.5489, 
6,18,50,30,-100,100,56.1131, 25.6176, 125.728, 54.7193, 3979.09, 17.3512, 143.079, 
5,13,50,30,0,3.14159,-18.0111, 0.506857, 2.05268, -18.0514, 9159.8, -19.0317, -16.979, 
9,15,50,30,-100,100,0.125401, 0.802107, 5.73933, 0.00597097, 3309.11, 6.1177e-05, 5.73939, 
5,8,50,30,-32,32,-67.2998, 3.05079, 13.1134, -67.2243, 7782.39, -73.4199, -60.3065, 
2,2,50,30,-100,100,72.9512, 16.3213, 76.5276, 70.1053, 2335.1, 38.0275, 114.555, 
3,9,50,30,-32,32,45.1012, 6.52614, 29.7047, 45.575, 10085.2, 29.4539, 59.1586, 
5,9,50,30,-32,32,31.8867, 4.95989, 25.008, 31.4503, 10094, 23.6199, 48.6279, 
3,11,50,30,-500,500,-6211.95, 329.369, 1695.23, -6164.19, 11732.3, -7163.67, -5468.44, 
1,5,50,30,-500,500,0.996344, 0.0427563, 0.197978, 1.01194, 5530.6, 0.852174, 1.05015, 
3,4,50,30,-30,30,-42081.1, 3721.5, 19383.1, -42386.3, 5057.31, -53010.1, -33626.9, 
0,4,50,30,-30,30,-68458.2, 2763.87, 12623.7, -68237.8, 5369.84, -74925, -62301.2, 
9,4,50,30,-30,30,-23181.6, 6833.47, 30869.5, -23508.4, 5511.66, -34713.3, -3843.84, 
7,10,50,30,-500,500,-8507.86, 742.891, 3154.25, -8309.26, 8679.04, -10728.6, -7574.33, 
4,2,50,30,-100,100,0.475122, 0.723736, 3.43544, 0.18291, 2532.73, 0.0361668, 3.4716, 
10,18,50,30,-100,100,12.4576, 1.99071, 9.26172, 12.3753, 4558.84, 7.87371, 17.1354, 
2,15,50,30,-100,100,92042.7, 39343.5, 176640, 84781.5, 2761.85, 25106.4, 201747, 
7,11,50,30,-500,500,-5154.26, 319.69, 1461.97, -5116.95, 11866.2, -6085.77, -4623.79, 
4,18,50,30,-100,100,46.0375, 24.3918, 121.695, 41.5952, 4161, 8.51868, 130.214, 
2,8,50,30,-32,32,-61.2074, 3.23963, 16.9097, -60.7741, 7377.27, -67.6159, -50.7062, 
2,13,50,30,0,3.14159,-17.3227, 0.56011, 2.72875, -17.3612, 8787.21, -18.8939, -16.1651, 
7,3,50,30,-100,100,78368.2, 32986.2, 145017, 74219.5, 2798.2, 21353.2, 166370, 
6,3,50,30,-100,100,434.028, 968.64, 6890.54, 190.366, 2467.99, 29.6869, 6920.23, 
0,15,50,30,-100,100,52228.6, 37102.2, 159581, 41393.5, 3674.27, 6710.19, 166291, 
5,2,50,30,-100,100,81.5049, 15.8895, 87.8936, 80.9275, 2595.82, 34.0148, 121.908, 
