algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
0,11,50,30,-500,500,-10546.2, 440.372, 2148.44, -10547.3, 4617.12, -11654.4, -9505.95, 
7,15,50,30,-100,100,28785.1, 140387, 1.0091e+06, 8082.49, 1261.3, 1888.71, 1.01099e+06, 
10,14,50,30,-30,30,-3.48253, 0.330282, 1.49991, -3.48355, 3083.54, -4.32309, -2.82318, 
8,18,50,30,-100,100,29.5547, 17.094, 89.5421, 24.3321, 1990.09, 8.93477, 98.4768, 
6,14,50,30,-30,30,-4.27387, 0.513441, 2.28678, -4.19498, 2849.02, -5.57598, -3.2892, 
4,12,50,30,-100,100,7.94112, 1.35068, 5.78568, 7.9249, 2933.84, 4.66536, 10.451, 
6,18,50,30,-100,100,57.8015, 28.0036, 133.313, 50.8311, 1871.85, 10.2337, 143.547, 
5,13,50,30,0,3.14159,-18.0719, 0.678758, 3.88725, -17.9077, 4348.17, -20.6449, -16.7577, 
9,15,50,30,-100,100,0.0162393, 0.0293826, 0.163444, 0.00515711, 1406.17, 0.000347333, 0.163792, 
5,8,50,30,-32,32,-68.5217, 2.78859, 13.2991, -68.5528, 3080.42, -73.9308, -60.6317, 
2,2,50,30,-100,100,74.5578, 16.062, 71.5376, 73.5721, 988.005, 47.6576, 119.195, 
3,9,50,30,-32,32,46.6657, 8.4744, 39.3613, 44.8155, 4965.25, 32.0603, 71.4216, 
5,9,50,30,-32,32,32.1242, 4.48103, 19.5607, 32.2281, 5008.02, 21.5433, 41.104, 
3,11,50,30,-500,500,-6252.45, 477.028, 2457.56, -6213.17, 4828.88, -7932.24, -5474.68, 
1,5,50,30,-500,500,0.993337, 0.0475606, 0.223581, 1.00247, 2916.12, 0.83312, 1.0567, 
3,4,50,30,-30,30,-42764.3, 4024.47, 23371.6, -42537.3, 2142.17, -53514.8, -30143.2, 
0,4,50,30,-30,30,-67715.3, 3609.35, 19036.4, -68065.1, 2311.08, -75769.8, -56733.4, 
9,4,50,30,-30,30,-19621.9, 7905, 44319.6, -20318.7, 2483.29, -34698.1, 9621.47, 
7,10,50,30,-500,500,-8478.36, 734.3, 3009.93, -8352.54, 4275.38, -10190.1, -7180.2, 
4,2,50,30,-100,100,0.459465, 0.782165, 3.90058, 0.170616, 1036.18, 0.0126842, 3.91326, 
10,18,50,30,-100,100,12.6521, 1.91738, 9.39777, 12.325, 2017.69, 8.39062, 17.7884, 
2,15,50,30,-100,100,103284, 49304.9, 227498, 89445.2, 1152.88, 38826.8, 266325, 
7,11,50,30,-500,500,-5122.62, 415.338, 2010.45, -5007.84, 5111.31, -6357.64, -4347.19, 
4,18,50,30,-100,100,48.3618, 20.0628, 90.5408, 45.5372, 1768.15, 4.09205, 94.6329, 
2,8,50,30,-32,32,-60.2349, 3.61096, 16.4189, -60.705, 3048.23, -68.1747, -51.7558, 
2,13,50,30,0,3.14159,-17.2571, 0.540655, 2.39576, -17.142, 4272.27, -18.5868, -16.191, 
7,3,50,30,-100,100,72972.6, 22329.2, 92858.6, 70409.3, 1187.77, 33871.5, 126730, 
6,3,50,30,-100,100,520.354, 1468.46, 10165.7, 124.942, 1260.94, 28.9469, 10194.6, 
0,15,50,30,-100,100,43658.6, 28045.3, 142396, 35983.3, 1550.68, 7846.72, 150243, 
5,2,50,30,-100,100,79.8663, 19.7864, 94.9608, 75.8253, 1057.18, 41.2752, 136.236, 
7,16,50,30,-10,10,0.397303, 0.0866167, 0.39132, 0.398188, 4404.01, 0.183954, 0.575275, 
4,1,50,30,-512,512,3393.73, 766.011, 3177.96, 3481.43, 1964.2, 1919.55, 5097.51, 
8,8,50,30,-32,32,-35.0089, 11.953, 58.5577, -36.0991, 3287.65, -59.2945, -0.736778, 
2,18,50,30,-100,100,27.1282, 3.95116, 17.5687, 27.2551, 1690.01, 19.1722, 36.7409, 
0,13,50,30,0,3.14159,-25.8872, 0.551895, 2.46372, -25.8351, 4509.42, -27.1958, -24.7321, 
10,2,50,30,-100,100,8.31902, 2.08104, 10.5112, 7.91177, 1281.98, 5.39183, 15.9031, 
8,9,50,30,-32,32,8.95271, 18.7925, 99.3033, 2.26085, 4897.94, 0.526854, 99.8302, 
0,2,50,30,-100,100,85.0443, 23.8944, 94.9827, 84.6114, 1365.26, 44.3052, 139.288, 
8,13,50,30,0,3.14159,-12.7757, 0.806585, 3.61137, -12.6998, 4554.45, -15.1149, -11.5035, 
1,8,50,30,-32,32,-62.6183, 5.76389, 26.1556, -62.8276, 2947.12, -74.6969, -48.5413, 
3,13,50,30,0,3.14159,-16.1137, 0.599823, 2.61848, -15.9964, 4326.96, -17.6761, -15.0576, 
