algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
0,11,50,30,-500,500,-10569, 393.232, 1981.83, -10513.1, 4430.57, -11543.2, -9561.4, 
7,15,50,30,-100,100,10670.6, 5041.41, 22433.8, 9569.61, 1253.43, 1678.42, 24112.2, 
11,9,50,30,-32,32,194.587, 66.5203, 300.54, 186.522, 3028.18, 66.7818, 367.321, 
10,14,50,30,-30,30,-3.57469, 0.382472, 1.90592, -3.47515, 2855.32, -4.88402, -2.9781, 
8,18,50,30,-100,100,25.7955, 13.8892, 75.6579, 21.6545, 1866.12, 9.023, 84.6809, 
6,14,50,30,-30,30,-4.32186, 0.612186, 2.50456, -4.25694, 2805.49, -5.82831, -3.32375, 
11,18,50,30,-100,100,39.8137, 25.5827, 94.4628, 32.434, 1703.47, 6.66306, 101.126, 
4,12,50,30,-100,100,7.93713, 1.22114, 5.61663, 7.81874, 2766.02, 5.09051, 10.7071, 
6,18,50,30,-100,100,60.9019, 25.219, 133.541, 59.7042, 1829.76, 10.0355, 143.576, 
5,13,50,30,0,3.14159,-18.1305, 0.513402, 2.26646, -18.0764, 4109.9, -19.3629, -17.0964, 
9,15,50,30,-100,100,0.0397228, 0.159172, 1.13628, 0.00647245, 1353.45, 0.000504734, 1.13678, 
13,18,50,30,-100,100,408.737, 38.8757, 158.652, 416.711, 1973.07, 312.912, 471.564, 
13,16,50,30,-10,10,120.242, 20.2953, 86.5299, 121.984, 4588.26, 75.5977, 162.128, 
15,18,50,30,-100,100,0.0559102, 0.116878, 0.575254, 0.00785626, 6530.74, 0, 0.575254, 
5,8,50,30,-32,32,-67.7695, 2.94281, 12.8453, -67.7421, 2907.38, -74.377, -61.5317, 
11,4,50,30,-30,30,116.462, 26.355, 144.444, 118.929, 1768.78, 47.7723, 192.216, 
2,2,50,30,-100,100,73.2589, 15.9345, 61.8361, 75.3162, 917.26, 40.99, 102.826, 
3,9,50,30,-32,32,47.4457, 7.53435, 37.6084, 46.2232, 4703.41, 33.2742, 70.8826, 
14,12,50,30,-100,100,7.50746, 0.950603, 4.79757, 7.66209, 4175.76, 5.30465, 10.1022, 
5,9,50,30,-32,32,31.2132, 4.13797, 16.1767, 30.9783, 4718.22, 23.7212, 39.8979, 
3,11,50,30,-500,500,-6094.79, 337.2, 1668.89, -6048.61, 4639.81, -7060.66, -5391.77, 
1,5,50,30,-500,500,0.99322, 0.0363424, 0.148446, 1.00331, 2760.57, 0.893671, 1.04212, 
3,4,50,30,-30,30,157.514, 13.1932, 56.6759, 156.599, 2026.75, 132.396, 189.072, 
15,16,50,30,-10,10,0.00945174, 0.00738131, 0.0394078, 0.00794217, 7679.5, 0.000648048, 0.0400558, 
0,4,50,30,-30,30,78.3185, 12.9377, 68.1886, 77.6362, 2240.37, 58.4741, 126.663, 
12,18,50,30,-100,100,91.5723, 38.4198, 165.963, 85.9548, 2321.58, 20.0583, 186.021, 
9,4,50,30,-30,30,223.9, 20.8741, 94.3128, 224.576, 2390.46, 164.271, 258.584, 
7,10,50,30,-500,500,-8399.29, 678.009, 3162.9, -8331.02, 4142.88, -10394.7, -7231.85, 
4,2,50,30,-100,100,0.452484, 0.562381, 2.96499, 0.244608, 967.223, 0.0164853, 2.98148, 
10,18,50,30,-100,100,12.9277, 1.45181, 6.50495, 12.9998, 1919.24, 9.39184, 15.8968, 
14,3,50,30,-100,100,48239, 68139, 398841, 26502, 1134.39, 1280.89, 400122, 
2,15,50,30,-100,100,94613.3, 37297.1, 164184, 96982.2, 1090.21, 34981.9, 199166, 
7,11,50,30,-500,500,-5116.55, 408.855, 1657.45, -5134.81, 4847.64, -6031.84, -4374.39, 
4,18,50,30,-100,100,40.4493, 19.763, 93.443, 37.2929, 1645.68, 7.50574, 100.949, 
