algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
0,11,50,30,-500,500,-11053, 466.961, 2355.67, -11107.1, 18652.4, -12224.3, -9868.62, 
7,15,50,30,-100,100,0.685047, 4.29441, 30.7103, 0.0278507, 4877.49, 0.00545886, 30.7157, 
11,9,50,30,-32,32,210.716, 48.9912, 200.015, 213.103, 10971.2, 113.752, 313.768, 
10,14,50,30,-30,30,-4.61355, 0.447576, 2.55414, -4.6074, 13080.3, -6.45456, -3.90041, 
8,18,50,30,-100,100,3.76892, 6.93193, 27.6498, 0.0542909, 8020.14, 0.00269741, 27.6525, 
6,14,50,30,-30,30,-6.18583, 1.00712, 4.98302, -5.92493, 9125.6, -9.82798, -4.84496, 
11,18,50,30,-100,100,25.2129, 27.8208, 103.369, 8.09082, 7314.76, 0.0106149, 103.38, 
4,12,50,30,-100,100,7.09026, 1.06625, 4.4397, 6.88706, 10907.7, 4.97299, 9.4127, 
6,18,50,30,-100,100,25.3197, 28.8559, 121.58, 13.1161, 5540.94, 0.000990692, 121.581, 
5,13,50,30,0,3.14159,-21.6438, 0.570988, 3.54106, -21.5472, 14925.5, -23.9315, -20.3904, 
9,15,50,30,-100,100,0.00184641, 0.0128915, 0.0920869, 1.61103e-14, 6301.29, 4.53616e-17, 0.0920869, 
13,18,50,30,-100,100,397.843, 41.4758, 173.33, 401.802, 8950.54, 287.457, 460.787, 
13,16,50,30,-10,10,105.081, 21.6927, 92.469, 104.332, 17096.1, 58.2256, 150.695, 
15,18,50,30,-100,100,0.00315757, 0.00435021, 0.0156343, 0.00110446, 46673.3, 0, 0.0156343, 
5,8,50,30,-32,32,-85.7513, 0.835139, 3.10035, -86.254, 12919.7, -86.318, -83.2176, 
11,4,50,30,-30,30,121.126, 29.4173, 118.398, 120.887, 7989.03, 67.6571, 186.055, 
2,2,50,30,-100,100,0.105071, 0.0733603, 0.438, 0.0898657, 4113.81, 0.040867, 0.478867, 
3,9,50,30,-32,32,2.53506, 4.14872, 18.8481, 0.272373, 14872.4, 0.117463, 18.9656, 
14,12,50,30,-100,100,7.43253, 1.01444, 4.08065, 7.60323, 17536.5, 5.22197, 9.30262, 
5,9,50,30,-32,32,0.297942, 0.0472489, 0.200509, 0.298544, 15142.6, 0.180261, 0.38077, 
3,11,50,30,-500,500,-7055.29, 358.944, 1483.34, -6985.17, 17400.9, -8012.42, -6529.08, 
1,5,50,30,-500,500,0.00928844, 0.0112695, 0.0489034, 0.00775679, 9439.02, 0.000183098, 0.0490865, 
3,4,50,30,-30,30,104.18, 8.54786, 40.5157, 104.011, 9049.76, 80.0219, 120.538, 
15,16,50,30,-10,10,0.00143221, 0.00116501, 0.00629586, 0.00101586, 50967.8, 6.63656e-05, 0.00636223, 
0,4,50,30,-30,30,23.1487, 3.06429, 18.5587, 23.4353, 10859.4, 13.1709, 31.7296, 
12,18,50,30,-100,100,47.6319, 23.6328, 108.205, 44.009, 10466, 9.608, 117.813, 
9,4,50,30,-30,30,190.028, 29.2053, 141.731, 198.87, 10162.7, 88.2628, 229.993, 
7,10,50,30,-500,500,-9844.84, 947.953, 4770.97, -9903.11, 14360.3, -12662.6, -7891.63, 
4,2,50,30,-100,100,0.00161917, 0.00361088, 0.022892, 0.000232111, 4517.03, 4.8781e-07, 0.0228925, 
10,18,50,30,-100,100,0.0241903, 0.00257311, 0.0122798, 0.0243272, 7986.93, 0.0184981, 0.0307779, 
14,3,50,30,-100,100,33449.3, 56002.3, 359096, 15414.6, 5446.28, 2006.02, 361102, 
2,15,50,30,-100,100,7.31086, 18.3571, 123.923, 2.94004, 4944.09, 0.692339, 124.616, 
7,11,50,30,-500,500,-5697.99, 699.152, 4596.89, -5557.97, 16284, -9525.46, -4928.57, 
4,18,50,30,-100,100,17.3047, 14.5378, 55.3098, 15.1952, 7477.02, 0.00494315, 55.3148, 
14,18,50,30,-100,100,71.8429, 23.9616, 84.4191, 68.7281, 9363.08, 31.5523, 115.971, 
2,8,50,30,-32,32,-86.0598, 0.283147, 1.21426, -86.1429, 12523.6, -86.2318, -85.0176, 
2,13,50,30,0,3.14159,-20.7241, 0.570616, 2.47239, -20.6106, 14486.8, -22.1008, -19.6284, 
15,6,50,30,-30,30,-43.1989, 0.867118, 6.18305, -43.3643, 47646.5, -43.3803, -37.1973, 
7,3,50,30,-100,100,233.834, 485.452, 3067.44, 119.936, 4355.29, 44.5665, 3112.01, 
6,3,50,30,-100,100,77.3856, 87.3238, 450.142, 59.709, 3967.3, 17.8536, 467.996, 
13,12,50,30,-100,100,7.93314, 1.06796, 4.79725, 7.70343, 13277.5, 5.70444, 10.5017, 
0,15,50,30,-100,100,159.207, 94.1686, 392.098, 138.335, 7509.34, 32.7849, 424.883, 
5,2,50,30,-100,100,0.674708, 1.82585, 12.7763, 0.229374, 4708.09, 0.0707482, 12.847, 
7,16,50,30,-10,10,0.000138401, 4.90677e-05, 0.000226052, 0.000133734, 14766.3, 6.71641e-05, 0.000293216, 
4,1,50,30,-512,512,1696.72, 381.531, 1803.25, 1686.04, 8035.52, 770.581, 2573.83, 
15,7,50,30,-30,30,29, 2.66108e-05, 0.000139236, 29, 51013.2, 29, 29.0001, 
8,8,50,30,-32,32,-76.8606, 3.78024, 17.4771, -77.577, 13664.3, -84.2781, -66.801, 
2,18,50,30,-100,100,0.240124, 0.0815413, 0.378615, 0.219318, 6899.01, 0.117526, 0.496141, 
0,13,50,30,0,3.14159,-27.0648, 0.675269, 3.05567, -27.2102, 17233.8, -28.1236, -25.0679, 
10,2,50,30,-100,100,0.000788814, 0.000229512, 0.00113829, 0.000781813, 5519.7, 0.000325308, 0.0014636, 
8,9,50,30,-32,32,5.52927, 9.93995, 39.2378, 0.00323725, 15734, 8.06665e-05, 39.2378, 
13,3,50,30,-100,100,351464, 267677, 1.08691e+06, 256280, 6339.79, 64033.3, 1.15094e+06, 
13,1,50,30,-512,512,4994.94, 676.087, 2931.48, 5123.54, 9007.55, 3302, 6233.48, 
13,11,50,30,-500,500,-7863.54, 1302.2, 6069.42, -7434.22, 18683.1, -11322.1, -5252.67, 
0,2,50,30,-100,100,5.89194, 1.88467, 9.45148, 5.89873, 6731.5, 2.89488, 12.3464, 
8,13,50,30,0,3.14159,-13.7314, 0.654639, 2.97064, -13.6646, 15562.6, -15.4621, -12.4914, 
1,8,50,30,-32,32,-79.5493, 3.67806, 19.2934, -80.0666, 11927.6, -85.272, -65.9786, 
3,13,50,30,0,3.14159,-18.7702, 0.554017, 2.56606, -18.7258, 14763.2, -20.2515, -17.6855, 
11,6,50,30,-30,30,-35.8667, 1.56063, 6.99184, -36.1033, 8973.43, -39.3127, -32.3209, 
2,9,50,30,-32,32,0.362926, 0.0475844, 0.210271, 0.359392, 15051.7, 0.255629, 0.4659, 
14,17,50,30,-100,100,44.4021, 8.09548, 34.5483, 43.2781, 6187, 27.6949, 62.2431, 
10,5,50,30,-500,500,0.00261015, 0.00531294, 0.0322673, 0.00155466, 10843.9, 0.00062633, 0.0328936, 
1,13,50,30,0,3.14159,-22.2938, 0.849725, 3.42715, -22.3174, 14201.2, -23.8058, -20.3786, 
9,14,50,30,-30,30,-3.82397, 0.515423, 2.35614, -3.70098, 13158, -5.12829, -2.77215, 
0,10,50,30,-500,500,-19007.1, 1169.46, 6473.59, -19098.1, 15678.9, -21971.1, -15497.5, 
11,5,50,30,-500,500,0.0135243, 0.0155278, 0.0540494, 0.00985723, 8295.13, 5.9952e-15, 0.0540494, 
4,7,50,30,-30,30,38.7141, 1.76568, 7.11503, 38.9265, 15582.6, 35.0639, 42.1789, 
12,5,50,30,-500,500,1.73502, 0.806137, 3.7685, 1.44414, 12189.3, 0.909893, 4.6784, 
10,6,50,30,-30,30,-34.3813, 0.39948, 2.19482, -34.3011, 11077.7, -35.9109, -33.716, 
15,14,50,30,-30,30,-28.1722, 2.21968, 9.60088, -28.9999, 48581.1, -29, -19.3991, 
1,17,50,30,-100,100,7.5429, 0.0214675, 0.103699, 7.53637, 5184.18, 7.51884, 7.62254, 
13,13,50,30,0,3.14159,-7.34166, 0.686477, 2.86581, -7.23977, 16022.6, -9.23994, -6.37414, 
2,6,50,30,-30,30,-37.6727, 0.405684, 1.78616, -37.599, 9432.65, -38.5553, -36.7691, 
10,9,50,30,-32,32,0.0530377, 0.00807586, 0.0350178, 0.0522103, 15735.3, 0.0341033, 0.0691211, 
7,12,50,30,-100,100,5.10007, 0.778999, 3.07649, 5.06319, 11448.6, 3.59292, 6.66941, 
5,14,50,30,-30,30,-14.2226, 0.709783, 3.02511, -14.3515, 12179.8, -15.7061, -12.681, 
4,11,50,30,-500,500,-9722.58, 818.544, 3204.3, -9651.4, 16601.5, -11520.5, -8316.15, 
5,3,50,30,-100,100,10713.6, 50867.5, 362166, 798.7, 5317.06, 224.388, 362390, 
11,13,50,30,0,3.14159,-21.1087, 1.97237, 8.5062, -21.0223, 10642.4, -26.448, -17.9418, 
2,3,50,30,-100,100,714.642, 1380.88, 8960.98, 387.674, 4885.61, 169.495, 9130.47, 
15,9,50,30,-32,32,0.604377, 1.94226, 10.1852, 0.00141245, 51260.6, -1.28786e-14, 10.1852, 
13,15,50,30,-100,100,26675.9, 17208.7, 84263.7, 23226.7, 6577.23, 5160.87, 89424.6, 
4,9,50,30,-32,32,48.8087, 35.4197, 146.356, 42.9971, 14525.1, 0.00252285, 146.359, 
10,15,50,30,-100,100,4.84553, 23.5568, 132.349, 0.00453612, 6280.45, 0.0010288, 132.35, 
3,10,50,30,-500,500,-10818.4, 646.282, 2777.33, -10744.2, 13941.5, -12438.2, -9660.86, 
3,1,50,30,-512,512,5349.21, 369.932, 1602.81, 5418.06, 8152.11, 4296.79, 5899.61, 
7,1,50,30,-512,512,6247.28, 405.079, 2020.96, 6281.27, 7553.51, 4940.84, 6961.8, 
10,11,50,30,-500,500,-5455.78, 367.125, 1922.32, -5386.26, 18023.7, -6674.44, -4752.11, 
15,4,50,30,-30,30,0.00814392, 0.0396947, 0.231323, 0, 47107.1, 0, 0.231323, 
10,17,50,30,-100,100,7.55239, 0.00931106, 0.0368948, 7.55092, 6487.31, 7.53713, 7.57403, 
5,6,50,30,-30,30,-37.7428, 0.384729, 2.14604, -37.7392, 10020.9, -39.0138, -36.8678, 
3,2,50,30,-100,100,0.000685062, 0.00103443, 0.00454279, 0.000307096, 4465.55, 3.34332e-05, 0.00457622, 
15,12,50,30,-100,100,1.85442e-08, 1.12139e-07, 8.01823e-07, 8.48345e-11, 49122.7, 0, 8.01823e-07, 
