algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
0,1,50,30,-512,512,280.085, 186.703, 746.848, 237.084, 112669, 0.0427246, 746.891, 
0,10,50,30,-500,500,-21456.7, 977.846, 5160.13, -21393.2, 183187, -24457.1, -19297, 
0,11,50,30,-500,500,-12295.5, 362.919, 1616.43, -12319.6, 223434, -13120, -11503.6, 
0,12,50,30,-100,100,3.7755, 0.665449, 2.95035, 3.68998, 133850, 2.10039, 5.05074, 
0,13,50,30,0,3.14159,-29.2255, 0.191971, 0.973812, -29.2647, 180708, -29.5238, -28.55, 
0,14,50,30,-30,30,-23.2254, 1.80305, 7.58227, -23.1372, 178517, -26.8361, -19.2539, 
0,15,50,30,-100,100,0.00302092, 0.00184615, 0.00982986, 0.00276586, 90969, 0.000575505, 0.0104054, 
0,16,50,30,-10,10,0.264756, 0.753193, 3.45716, 0.000983127, 218341, 0.000474014, 3.45763, 
0,17,50,30,-100,100,8.15382, 0.103322, 0.584333, 8.14764, 66728, 8.00256, 8.5869, 
0,18,50,30,-100,100,0.276977, 0.186378, 0.728234, 0.222804, 108089, 0.0333364, 0.761571, 
0,2,50,30,-100,100,0.0249417, 0.00955425, 0.0495211, 0.0240184, 44149, 0.0116246, 0.0611457, 
0,3,50,30,-100,100,145.016, 125.54, 941.182, 136.452, 47764, 21.7897, 962.972, 
0,4,50,30,-30,30,0.353499, 0.115255, 0.54364, 0.33284, 101064, 0.157562, 0.701202, 
0,5,50,30,-500,500,0.131723, 0.0370207, 0.181824, 0.123313, 97322, 0.0563142, 0.238138, 
0,6,50,30,-30,30,-43.0839, 0.185565, 0.752632, -43.1178, 88724, -43.3544, -42.6018, 
0,7,50,30,-30,30,29.109, 0.0648213, 0.258047, 29.0988, 232171, 29.0144, 29.2724, 
0,8,50,30,-32,32,-86.2188, 0.0342625, 0.165207, -86.2243, 156817, -86.2821, -86.1168, 
0,9,50,30,-32,32,0.879664, 0.146232, 0.588917, 0.859332, 207067, 0.622742, 1.21166, 
10,1,50,30,-512,512,4654.19, 269.019, 1249.04, 4667.94, 80128, 3982.45, 5231.5, 
10,10,50,30,-500,500,-14559.3, 1261.43, 7129.29, -14571.7, 124570, -18875.4, -11746.2, 
10,11,50,30,-500,500,-6410.01, 492.603, 2209.72, -6386.55, 192641, -7755.81, -5546.08, 
10,12,50,30,-100,100,4.25265, 0.510456, 2.19965, 4.32764, 99867, 2.98527, 5.18493, 
10,13,50,30,0,3.14159,-17.4087, 0.625069, 3.57952, -17.3843, 161808, -19.7936, -16.2141, 
10,14,50,30,-30,30,-6.46385, 0.509669, 2.55721, -6.39291, 119868, -7.9638, -5.40659, 
10,15,50,30,-100,100,1.67335e-21, 1.33178e-21, 6.79893e-21, 1.25362e-21, 50584, 3.02826e-22, 7.10175e-21, 
10,16,50,30,-10,10,1.49966e-32, 0, 0, 1.49966e-32, 195584, 1.49966e-32, 1.49966e-32, 
10,17,50,30,-100,100,7.5, 0, 0, 7.5, 54620, 7.5, 7.5, 
10,18,50,30,-100,100,0.011727, 0.000706289, 0.00357364, 0.0117838, 107686, 0.00936491, 0.0129385, 
10,2,50,30,-100,100,8.72984e-16, 2.81554e-16, 1.57539e-15, 7.90007e-16, 29086, 4.76951e-16, 2.05234e-15, 
10,3,50,30,-100,100,53.1118, 30.1787, 84.0615, 29.3336, 31606, 24.8627, 108.924, 
10,4,50,30,-30,30,45.9165, 6.36852, 25.6545, 45.5335, 87722, 33.5069, 59.1614, 
10,5,50,30,-500,500,0, 0, 0, 0, 81899, 0, 0, 
10,6,50,30,-30,30,-35.7154, 0.4758, 2.10347, -35.6532, 111537, -37.0184, -34.9149, 
10,7,50,30,-30,30,36.7841, 0.938393, 3.9067, 36.786, 220614, 34.8069, 38.7136, 
10,8,50,30,-32,32,-86.3328, 3.25839e-06, 7.62939e-06, -86.3328, 121715, -86.3328, -86.3328, 
10,9,50,30,-32,32,8.89787e-09, 1.27654e-09, 5.98812e-09, 8.71726e-09, 213547, 6.17677e-09, 1.21649e-08, 
11,1,50,30,-512,512,3106.28, 375.058, 1254.92, 3327.85, 73350, 2187.68, 3442.6, 
11,10,50,30,-500,500,-16266.5, 1265.7, 6021.63, -16294.4, 99181, -19328.1, -13306.5, 
11,11,50,30,-500,500,-9803.56, 864.235, 3795.99, -9827.91, 116350, -11550.4, -7754.4, 
11,12,50,30,-100,100,2.83316, 0.544394, 3.26372, 2.69032, 94151, 2.45726, 5.72097, 
11,13,50,30,0,3.14159,-21.0358, 1.90768, 8.62655, -21.3453, 113212, -25.5177, -16.8911, 
11,14,50,30,-30,30,-6.42882, 1.2453, 4.77294, -6.4288, 95027, -9.20149, -4.42855, 
11,15,50,30,-100,100,0, 0, 0, 0, 40092, 0, 0, 
11,16,50,30,-10,10,5.24553, 6.68722, 45.6245, 4.15314, 118490, 0.179057, 45.8035, 
11,17,50,30,-100,100,7.50004, 0.000214686, 0.00153446, 7.5, 65983, 7.5, 7.50153, 
11,18,50,30,-100,100,14.7712, 22.6812, 81.3086, 0.000605572, 58577, 8.84246e-05, 81.3087, 
11,2,50,30,-100,100,3.11929e-44, 3.82919e-44, 2.53635e-43, 2.10195e-44, 35687, 2.8026e-45, 2.56438e-43, 
11,3,50,30,-100,100,60432.9, 237397, 1.00008e+06, 14.0325, 32855, 3.32481, 1.00008e+06, 
11,4,50,30,-30,30,82.8997, 23.0437, 119.394, 76.6117, 87454, 48.7529, 168.147, 
11,5,50,30,-500,500,0.0152012, 0.0161376, 0.0758844, 0.00986093, 73798, 2.22045e-16, 0.0758844, 
11,6,50,30,-30,30,-37.4075, 1.67908, 8.46705, -37.509, 71503, -41.2105, -32.7435, 
11,7,50,30,-30,30,29.8741, 0.780462, 2.94631, 29.7195, 120039, 29.0104, 31.9567, 
11,8,50,30,-32,32,-28.0238, 26.7001, 124.55, -34.7529, 103087, -64.566, 59.9844, 
11,9,50,30,-32,32,163.412, 61.1609, 261.074, 154.815, 117569, 58.7226, 319.797, 
12,1,50,30,-512,512,6560.65, 345.442, 1596.39, 6555.27, 118422, 5659.96, 7256.35, 
12,10,50,30,-500,500,-8185.97, 582.379, 2531.21, -8086.32, 160368, -9462.43, -6931.22, 
12,11,50,30,-500,500,-7213.68, 662.376, 4028.39, -7160.17, 170773, -9799.12, -5770.73, 
12,12,50,30,-100,100,8.44606, 0.372077, 2.39386, 8.50047, 120739, 6.82261, 9.21647, 
12,13,50,30,0,3.14159,-8.73921, 0.709187, 3.65365, -8.69703, 161508, -10.6811, -7.02744, 
12,14,50,30,-30,30,-27.5516, 2.31916, 10.6979, -28.7239, 141602, -28.9992, -18.3013, 
12,15,50,30,-100,100,21.6111, 60.4208, 313.028, 0.516024, 124380, 8.48816e-05, 313.028, 
12,16,50,30,-10,10,2.01886, 0.209867, 1.25461, 1.96283, 173380, 1.76286, 3.01747, 
12,17,50,30,-100,100,7.70959, 0.82019, 5.89857, 7.55259, 112502, 7.50246, 13.401, 
12,18,50,30,-100,100,8.3751, 11.2413, 48.8156, 5.34439, 96353, 0.0125546, 48.8282, 
12,2,50,30,-100,100,0.0184972, 0.0302362, 0.128723, 0.00574092, 115188, 2.58125e-05, 0.128749, 
12,3,50,30,-100,100,1264.31, 5158.73, 36284.3, 107.336, 105787, 29.2109, 36313.6, 
12,4,50,30,-30,30,34.8442, 34.9707, 149.922, 26.5807, 120135, 0.0127869, 149.935, 
12,5,50,30,-500,500,0.186625, 0.207006, 0.71951, 0.079498, 120851, 0.000748594, 0.720258, 
12,6,50,30,-30,30,-33.7769, 0.829384, 3.52295, -33.7991, 89834, -35.3976, -31.8747, 
12,7,50,30,-30,30,43.2014, 4.65144, 19.3211, 42.7911, 168873, 34.1561, 53.4772, 
12,8,50,30,-32,32,1.04204, 9.65026, 47.3369, 1.43364, 112927, -19.1781, 28.1587, 
12,9,50,30,-32,32,0.00372466, 0.00688535, 0.0465461, 0.00148301, 162734, 9.08127e-05, 0.046637, 
