algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
0,1,50,30,-512,512,1120.49, 297.678, 1279.73, 1186.25, 4663, 543.752, 1823.48, 
0,10,50,30,-500,500,-18495.1, 976.911, 4514.6, -18403.3, 9581, -20888.1, -16373.5, 
0,11,50,30,-500,500,-10576.6, 371.955, 1916.14, -10566.7, 10864, -11494.5, -9578.38, 
0,12,50,30,-100,100,6.23128, 0.620678, 2.93953, 6.3149, 4788, 4.32112, 7.26065, 
0,13,50,30,0,3.14159,-25.8807, 0.64041, 2.74748, -26.0373, 7949, -26.9588, -24.2113, 
0,14,50,30,-30,30,-13.2206, 1.9649, 8.41365, -13.1305, 6624, -16.9328, -8.51918, 
0,15,50,30,-100,100,52617.9, 36740.1, 158618, 37263.4, 1650, 9927.62, 168545, 
0,16,50,30,-10,10,3.53071, 2.2447, 9.41606, 3.47712, 10471, 0.399314, 9.81538, 
0,17,50,30,-100,100,124.141, 23.8733, 112.557, 121.495, 1601, 68.3736, 180.931, 
0,18,50,30,-100,100,18.6711, 4.1105, 19.6534, 18.1955, 3830, 10.5273, 30.1806, 
0,2,50,30,-100,100,81.864, 19.4953, 92.8774, 82.0181, 1454, 35.2576, 128.135, 
0,3,50,30,-100,100,360263, 241884, 1.17822e+06, 312069, 1590, 28782.4, 1.207e+06, 
0,4,50,30,-30,30,-67627.8, 3250.03, 14724.6, -67572, 3834, -74346.8, -59622.3, 
0,5,50,30,-500,500,1.61596, 0.166175, 0.787888, 1.58044, 4658, 1.21984, 2.00772, 
0,6,50,30,-30,30,-40.0446, 0.45313, 2.17593, -40.0683, 4185, -41.0644, -38.8885, 
0,7,50,30,-30,30,30.8061, 0.57209, 2.28238, 30.7594, 12695, 29.7652, 32.0476, 
0,8,50,30,-32,32,-68.7407, 3.21194, 14.6186, -68.7527, 6530, -75.096, -60.4774, 
0,9,50,30,-32,32,64.0052, 13.5299, 75.5041, 60.074, 12634, 43.3312, 118.835, 
10,1,50,30,-512,512,6199.43, 307.965, 1742.31, 6267.08, 4579, 4921.76, 6664.06, 
10,10,50,30,-500,500,-8986.6, 648.121, 3203.91, -8851.73, 7505, -11224.1, -8020.15, 
10,11,50,30,-500,500,-5075.64, 340.264, 1399.19, -5043.93, 10723, -5861.73, -4462.54, 
10,12,50,30,-100,100,11.334, 0.34795, 1.44756, 11.4065, 4877, 10.5665, 12.0141, 
10,13,50,30,0,3.14159,-13.5814, 0.535147, 2.4694, -13.5772, 7930, -14.9858, -12.5164, 
10,14,50,30,-30,30,-3.62033, 0.325645, 1.35194, -3.57319, 6259, -4.39536, -3.04342, 
10,15,50,30,-100,100,4501.25, 6518.44, 47965, 3476.51, 1558, 1095.43, 49060.4, 
10,16,50,30,-10,10,0.103694, 0.0251453, 0.135329, 0.103702, 10611, 0.0404598, 0.175789, 
10,17,50,30,-100,100,24.6827, 2.90193, 14.4884, 24.5532, 1535, 17.073, 31.5614, 
