algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
0,11,50,30,-500,500,-12236.9, 374.758, 1836.61, -12200.9, 59400.1, -13271.8, -11435.2, 
7,15,50,30,-100,100,2.26308e-18, 1.93429e-18, 9.33935e-18, 1.70616e-18, 15365.8, 5.63486e-19, 9.90284e-18, 
11,9,50,30,-32,32,157.429, 60.5562, 264.422, 155.498, 36144.9, 50.8324, 315.254, 
10,14,50,30,-30,30,-6.43434, 0.591881, 2.39677, -6.38313, 36647.9, -7.73513, -5.33837, 
8,18,50,30,-100,100,0.089453, 0.626126, 4.47234, 1.99396e-07, 20124.5, 2.04891e-09, 4.47234, 
6,14,50,30,-30,30,-11.1264, 2.35053, 9.95429, -11.1666, 34167.8, -16.9513, -6.99699, 
11,18,50,30,-100,100,10.7332, 24.1296, 121.91, 0.000551406, 19501.3, 0.000153965, 121.91, 
4,12,50,30,-100,100,5.75419, 0.913139, 4.59031, 5.80015, 35129.1, 2.91601, 7.50633, 
6,18,50,30,-100,100,1.06384, 7.44632, 53.1881, 1.9989e-06, 19791.2, 2.79397e-09, 53.1881, 
5,13,50,30,0,3.14159,-26.136, 0.352783, 1.62613, -26.1909, 51958.7, -27.116, -25.4899, 
9,15,50,30,-100,100,0, 0, 0, 0, 17181.3, 0, 0, 
5,8,50,30,-32,32,-86.3328, 2.6473e-06, 7.62939e-06, -86.3328, 31392.4, -86.3328, -86.3328, 
11,4,50,30,-30,30,89.1679, 23.4808, 121.384, 86.0637, 20958.9, 42.7832, 164.167, 
2,2,50,30,-100,100,4.33154e-11, 1.0502e-11, 4.69127e-11, 4.39422e-11, 11695.5, 1.88452e-11, 6.57579e-11, 
3,9,50,30,-32,32,1.55205e-08, 5.72638e-09, 3.94478e-08, 1.47106e-08, 49035.3, 9.28233e-09, 4.87301e-08, 
5,9,50,30,-32,32,6.96673e-07, 1.25708e-07, 5.56574e-07, 6.83933e-07, 51302.7, 4.57514e-07, 1.01409e-06, 
3,11,50,30,-500,500,-8572.63, 394.68, 1724.68, -8491.47, 58772.3, -9382.32, -7657.64, 
1,5,50,30,-500,500,0.00782999, 0.00900236, 0.044268, 0.00739598, 30718.3, 0, 0.044268, 
3,4,50,30,-30,30,49.9522, 3.92589, 18.242, 50.4512, 25030.4, 41.1639, 59.4059, 
0,4,50,30,-30,30,0.326053, 0.0929411, 0.441498, 0.32901, 30677.7, 0.160156, 0.601654, 
12,18,50,30,-100,100,6.16563, 8.91209, 42.7592, 2.7379, 29122.3, 0.014653, 42.7738, 
9,4,50,30,-30,30,116.669, 51.1232, 164.197, 138.424, 28977, 13.3868, 177.584, 
7,10,50,30,-500,500,-14504.4, 1476.43, 6045.32, -14568.7, 51096.6, -17193.8, -11148.5, 
4,2,50,30,-100,100,2.76544e-19, 1.9352e-18, 1.38229e-17, 1.02833e-30, 12454.8, 3.44779e-33, 1.38229e-17, 
10,18,50,30,-100,100,0.0117094, 0.000638641, 0.00251854, 0.0117415, 20807.3, 0.0103135, 0.012832, 
2,15,50,30,-100,100,5.36068e-15, 3.48739e-15, 2.00285e-14, 4.29456e-15, 14042.6, 1.4447e-15, 2.14732e-14, 
7,11,50,30,-500,500,-8161.23, 1616.13, 7093.3, -7489.14, 61581.8, -13320.3, -6226.96, 
4,18,50,30,-100,100,0.0139914, 0.0534739, 0.341944, 2.43057e-06, 18513.1, 3.18945e-09, 0.341944, 
2,8,50,30,-32,32,-86.3328, 1.06812e-06, 7.62939e-06, -86.3328, 30550, -86.3328, -86.3328, 
2,13,50,30,0,3.14159,-25.0396, 0.351817, 1.77242, -25.0085, 51158.6, -26.0439, -24.2715, 
7,3,50,30,-100,100,31.2284, 16.6366, 65.412, 26.3658, 14232.8, 24.7918, 90.2038, 
6,3,50,30,-100,100,30.6773, 33.9438, 195.41, 17.1397, 15112.1, 9.21295, 204.623, 
0,15,50,30,-100,100,0.00421698, 0.00267785, 0.0117472, 0.00369598, 24313.5, 0.000949461, 0.0126967, 
5,2,50,30,-100,100,3.107e-11, 1.23163e-11, 5.98575e-11, 3.00326e-11, 12882.3, 9.86389e-12, 6.97214e-11, 
7,16,50,30,-10,10,1.39954e-15, 2.49373e-15, 1.256e-14, 1.49976e-32, 46963, 1.49976e-32, 1.256e-14, 
4,1,50,30,-512,512,987.06, 321.703, 1386.78, 925.399, 22160.1, 462.703, 1849.48, 
8,8,50,30,-32,32,-79.4416, 2.53513, 10.7162, -79.3192, 34828.2, -85.31, -74.5938, 
2,18,50,30,-100,100,0.00271851, 0.000273168, 0.00127791, 0.00274966, 17302.1, 0.00204724, 0.00332515, 
0,13,50,30,0,3.14159,-29.1623, 0.255214, 1.34538, -29.1952, 60472.4, -29.5642, -28.2189, 
10,2,50,30,-100,100,8.15539e-16, 2.4167e-16, 1.00759e-15, 7.69959e-16, 15693.3, 3.75528e-16, 1.38311e-15, 
8,9,50,30,-32,32,0.753563, 2.97666, 19.6186, -1.28786e-14, 44871.5, -1.28786e-14, 19.6186, 
0,2,50,30,-100,100,0.0270096, 0.0073771, 0.02905, 0.0271921, 22121.2, 0.0121541, 0.0412041, 
8,13,50,30,0,3.14159,-15.4993, 0.775105, 3.73221, -15.5518, 55181.2, -17.3743, -13.6421, 
1,8,50,30,-32,32,-82.7983, 2.12358, 8.9589, -83.2651, 30825.1, -86.3328, -77.3739, 
3,13,50,30,0,3.14159,-23.1122, 0.465942, 2.00554, -23.0926, 51474.4, -24.2241, -22.2186, 
11,6,50,30,-30,30,-37.4827, 1.39773, 5.88531, -37.3176, 24531.6, -40.3602, -34.4749, 
2,9,50,30,-32,32,1.29216e-06, 1.73523e-07, 8.49432e-07, 1.27295e-06, 50407.8, 8.50906e-07, 1.70034e-06, 
10,5,50,30,-500,500,8.88178e-18, 6.21725e-17, 4.44089e-16, 0, 35011.7, 0, 4.44089e-16, 
1,13,50,30,0,3.14159,-27.9536, 0.429364, 2.35766, -28.0058, 50495.8, -28.8842, -26.5266, 
9,14,50,30,-30,30,-5.74499, 1.14464, 4.52995, -5.57095, 36286.1, -8.33977, -3.80982, 
0,10,50,30,-500,500,-21442.1, 1077.7, 5979.96, -21521.8, 50363, -24575, -18595, 
11,5,50,30,-500,500,0.0137683, 0.0146864, 0.0561583, 0.00985723, 25597, 2.22045e-16, 0.0561583, 
4,7,50,30,-30,30,33.6358, 0.769328, 3.84416, 33.6493, 55881.6, 31.2322, 35.0764, 
12,5,50,30,-500,500,0.164299, 0.173508, 0.614007, 0.112416, 36150.8, 4.21488e-05, 0.614049, 
