algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
0,1,10,30,-512,512,247.124, 153.399, 592.658, 237.206, 22086, 0.0812988, 592.739, 
0,10,10,30,-500,500,-21857, 871.604, 3052.92, -21925, 32462, -23056.3, -20003.4, 
0,11,10,30,-500,500,-12218.7, 339.318, 1076.03, -12139.4, 44716, -12845.1, -11769.1, 
0,12,10,30,-100,100,3.72238, 0.510963, 1.81679, 3.80746, 31643, 2.7064, 4.52319, 
0,13,10,30,0,3.14159,-29.1275, 0.295877, 0.889517, -29.252, 39150, -29.4552, -28.5657, 
0,14,10,30,-30,30,-22.7952, 1.40087, 4.86984, -22.817, 37585, -25.9354, -21.0655, 
0,15,10,30,-100,100,0.00339237, 0.0015302, 0.00489715, 0.00358293, 19544, 0.000772204, 0.00566935, 
0,16,10,30,-10,10,0.519502, 0.792194, 1.72962, 0.000950054, 44964, 0.000652835, 1.73027, 
0,17,10,30,-100,100,8.21459, 0.107913, 0.331834, 8.22488, 19583, 8.06558, 8.39741, 
0,18,10,30,-100,100,0.240877, 0.0864475, 0.298057, 0.271782, 23117, 0.0656663, 0.363723, 
0,2,10,30,-100,100,0.0234079, 0.00709147, 0.0210263, 0.02256, 13158, 0.0155713, 0.0365976, 
0,3,10,30,-100,100,113.822, 47.783, 152.145, 97.7666, 11496, 56.5023, 208.647, 
0,4,10,30,-30,30,0.319342, 0.145629, 0.43866, 0.268738, 19709, 0.186584, 0.625244, 
0,5,10,30,-500,500,0.153012, 0.0370307, 0.123356, 0.149268, 23960, 0.102519, 0.225875, 
0,6,10,30,-30,30,-43.0502, 0.186019, 0.579353, -43.0736, 26892, -43.2468, -42.6675, 
0,7,10,30,-30,30,29.0591, 0.0378191, 0.117918, 29.0533, 51461, 29.0099, 29.1279, 
0,8,10,30,-32,32,-86.2365, 0.0289501, 0.0971451, -86.2365, 27121, -86.2663, -86.1692, 
0,9,10,30,-32,32,0.925453, 0.167653, 0.632971, 0.932535, 43728, 0.513019, 1.14599, 
10,1,10,30,-512,512,4570.16, 258.953, 737.348, 4631.09, 16467, 4191.56, 4928.91, 
10,10,10,30,-500,500,-13931.4, 1525.16, 4995.75, -13595.8, 32901, -16859.7, -11863.9, 
10,11,10,30,-500,500,-6233, 304.958, 1014.35, -6189.51, 36239, -6800.9, -5786.56, 
10,12,10,30,-100,100,4.1587, 0.468828, 1.44985, 4.24662, 20627, 3.30447, 4.75432, 
10,13,10,30,0,3.14159,-17.2318, 0.496666, 1.50965, -17.0832, 33923, -18.272, -16.7623, 
10,14,10,30,-30,30,-6.53202, 0.743548, 2.65094, -6.57593, 30044, -8.12662, -5.47567, 
10,15,10,30,-100,100,1.97582e-21, 1.34769e-21, 5.12867e-21, 1.75156e-21, 15066, 3.16077e-22, 5.44475e-21, 
10,16,10,30,-10,10,1.49966e-32, 0, 0, 1.49966e-32, 39067, 1.49966e-32, 1.49966e-32, 
10,17,10,30,-100,100,7.5, 0, 0, 7.5, 10661, 7.5, 7.5, 
10,18,10,30,-100,100,0.0112417, 0.000501758, 0.00144068, 0.0112257, 16923, 0.0104768, 0.0119174, 
10,2,10,30,-100,100,8.61748e-16, 2.42411e-16, 9.38711e-16, 8.56377e-16, 13526, 5.4163e-16, 1.48034e-15, 
10,3,10,30,-100,100,53.7657, 29.1507, 76.4186, 43.9484, 6965, 19.7143, 96.1329, 
10,4,10,30,-30,30,50.5623, 5.11154, 16.6712, 50.5545, 20603, 40.5808, 57.2521, 
10,5,10,30,-500,500,0, 0, 0, 0, 18135, 0, 0, 
10,6,10,30,-30,30,-35.8457, 0.509736, 1.61835, -35.8023, 14999, -36.6116, -34.9932, 
10,7,10,30,-30,30,37.0582, 1.02416, 3.62524, 37.0898, 46895, 35.528, 39.1533, 
10,8,10,30,-32,32,-86.3328, 3.05176e-06, 7.62939e-06, -86.3328, 22977, -86.3328, -86.3328, 
10,9,10,30,-32,32,8.80174e-09, 9.39142e-10, 3.37991e-09, 8.92707e-09, 45120, 7.30406e-09, 1.0684e-08, 
11,1,10,30,-512,512,3423.56, 110.073, 383.295, 3442.6, 11912, 3327.85, 3711.14, 
11,10,10,30,-500,500,-16215.4, 844.421, 2981.86, -16335.2, 17473, -17681.5, -14699.6, 
11,11,10,30,-500,500,-9697.84, 798.973, 2646.54, -9523.83, 22114, -11512.5, -8865.98, 
11,12,10,30,-100,100,3.61284, 1.63236, 5.1625, 2.69917, 12647, 2.53993, 7.70243, 
