algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
0,11,50,30,-500,500,-10628.8, 418.694, 1937.19, -10633.9, 7222.66, -11410.5, -9473.26, 
7,15,50,30,-100,100,9282.39, 4089.33, 16735.8, 8473.04, 2817.57, 2269.26, 19005.1, 
10,14,50,30,-30,30,-3.46988, 0.339149, 1.35588, -3.41114, 6306.14, -4.27119, -2.91531, 
8,18,50,30,-100,100,31.7177, 22.0749, 129.117, 25.9962, 4043.47, 8.05511, 137.172, 
6,14,50,30,-30,30,-4.08784, 0.422703, 1.70263, -4.08673, 5772.39, -4.95715, -3.25452, 
4,12,50,30,-100,100,7.70219, 1.19794, 5.42512, 7.65166, 5781.9, 5.23367, 10.6588, 
6,18,50,30,-100,100,53.6674, 34.7541, 169.051, 49.8238, 3830.34, 10.3302, 179.381, 
5,13,50,30,0,3.14159,-18.0207, 0.558058, 2.80036, -17.9685, 7911.45, -19.896, -17.0957, 
9,15,50,30,-100,100,0.0166474, 0.0238704, 0.120077, 0.00695944, 3052.96, 0.000157466, 0.120234, 
5,8,50,30,-32,32,-68.2777, 2.64196, 12.2685, -68.2954, 6479.48, -73.7563, -61.4879, 
2,2,50,30,-100,100,75.2539, 15.8424, 78.561, 76.8859, 1682.48, 39.939, 118.5, 
3,9,50,30,-32,32,45.9101, 8.11993, 50.2465, 45.0221, 7914.16, 32.1039, 82.3504, 
5,9,50,30,-32,32,31.1859, 4.3305, 19.7593, 30.369, 8126, 22.6104, 42.3697, 
3,11,50,30,-500,500,-6146.1, 371.356, 1769.81, -6063.91, 8183.4, -7217.15, -5447.34, 
1,5,50,30,-500,500,0.993413, 0.062823, 0.3543, 1.01671, 3949.76, 0.701094, 1.05539, 
3,4,50,30,-30,30,-42329.3, 3887.03, 18896.9, -41864.1, 4621.87, -54929.4, -36032.6, 
0,4,50,30,-30,30,-67562.7, 3117.6, 13658.9, -67427.5, 4101.22, -75750.6, -62091.7, 
9,4,50,30,-30,30,-21500.4, 7564.64, 52096.8, -21621.9, 4962.52, -43892.5, 8204.24, 
7,10,50,30,-500,500,-8450.32, 653.928, 3059.74, -8369.83, 7596.37, -10223.4, -7163.63, 
4,2,50,30,-100,100,0.380318, 0.470203, 2.41035, 0.2111, 2300.95, 0.011938, 2.42229, 
10,18,50,30,-100,100,12.6054, 2.04539, 9.95361, 12.6182, 4314.14, 7.3702, 17.3238, 
2,15,50,30,-100,100,98821.6, 35912.6, 165454, 98876.3, 2034, 31627.7, 197082, 
7,11,50,30,-500,500,-5107.63, 379.921, 1646.28, -5075.09, 9190.03, -6095.39, -4449.11, 
4,18,50,30,-100,100,53.8817, 24.9181, 105.987, 47.9018, 3851.12, 16.4595, 122.446, 
2,8,50,30,-32,32,-60.146, 2.80376, 11.4068, -60.3655, 5337.61, -65.1832, -53.7763, 
2,13,50,30,0,3.14159,-17.192, 0.60738, 2.8991, -17.1482, 6601.49, -18.713, -15.8139, 
7,3,50,30,-100,100,77290, 35872.9, 145824, 67362, 2640.49, 25997.7, 171821, 
6,3,50,30,-100,100,338.472, 706.359, 4785.72, 156.917, 2626.16, 30.7226, 4816.44, 
0,15,50,30,-100,100,39263.4, 22056.3, 126688, 37598.4, 2806.17, 9828.44, 136517, 
5,2,50,30,-100,100,85.5929, 17.6417, 79.7924, 84.8864, 2392.65, 43.5741, 123.366, 
7,16,50,30,-10,10,0.387714, 0.0927948, 0.427133, 0.386459, 7740.3, 0.205005, 0.632139, 
4,1,50,30,-512,512,3470.96, 794.913, 3620.26, 3390, 4217.8, 1657.56, 5277.82, 
8,8,50,30,-32,32,-32.6095, 11.4382, 50.7477, -30.0352, 7042.14, -62.496, -11.7482, 
2,18,50,30,-100,100,26.0161, 3.41687, 15.3584, 25.8753, 2815.53, 19.6176, 34.976, 
0,13,50,30,0,3.14159,-26.0266, 0.61377, 2.77982, -26.0776, 6428.58, -27.1849, -24.4051, 
10,2,50,30,-100,100,7.89796, 1.74462, 7.41204, 7.52078, 2742.04, 4.96594, 12.378, 
8,9,50,30,-32,32,4.87132, 7.89829, 50.8271, 1.41095, 8474.5, 0.409221, 51.2363, 
0,2,50,30,-100,100,79.6811, 22.0166, 106.645, 74.6016, 2456.23, 37.1798, 143.824, 
8,13,50,30,0,3.14159,-12.9318, 0.829042, 4.39219, -12.7585, 7990.74, -15.9663, -11.5741, 
1,8,50,30,-32,32,-61.762, 7.79533, 30.829, -61.1148, 5144.5, -78.9694, -48.1404, 
3,13,50,30,0,3.14159,-16.1448, 0.516608, 2.24458, -16.0583, 7378.36, -17.2342, -14.9896, 
2,9,50,30,-32,32,38.595, 3.7379, 16.5349, 38.7187, 7003, 30.7976, 47.3325, 
10,5,50,30,-500,500,1.04909, 0.0110615, 0.0467682, 1.04714, 5900.29, 1.03063, 1.07739, 
1,13,50,30,0,3.14159,-17.8886, 0.710961, 3.47019, -17.7303, 5892.93, -20.0288, -16.5586, 
9,14,50,30,-30,30,-2.89419, 0.408504, 1.80585, -2.78014, 6517.24, -3.93502, -2.12917, 
0,10,50,30,-500,500,-18179.1, 906.872, 4776.34, -18044.6, 5849.18, -20639, -15862.6, 
4,7,50,30,-30,30,43.4334, 1.91445, 9.17118, 43.5946, 7846.52, 38.5315, 47.7027, 
10,6,50,30,-30,30,-33.1351, 0.5301, 3.01556, -33.1043, 5525.92, -35.0715, -32.056, 
1,17,50,30,-100,100,18.6541, 3.66204, 21.0743, 17.8292, 1968.21, 12.0881, 33.1625, 
2,6,50,30,-30,30,-35.3875, 0.43402, 2.25974, -35.3764, 3885.05, -36.724, -34.4643, 
10,9,50,30,-32,32,15.5364, 1.98944, 7.90386, 15.1831, 8640.07, 12.0056, 19.9095, 
7,12,50,30,-100,100,8.59054, 0.707566, 3.60998, 8.53552, 6006.71, 6.37506, 9.98504, 
5,14,50,30,-30,30,-7.64553, 0.497698, 2.15391, -7.6796, 6128.59, -8.73569, -6.58178, 
4,11,50,30,-500,500,-8214.12, 823.052, 3865.66, -8206.85, 9201.15, -10421.2, -6555.58, 
