algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
0,1,50,30,-512,512,1230.19, 363.418, 1541.91, 1171.77, 5758, 583.847, 2125.76, 
0,10,50,30,-500,500,-18439.4, 925.469, 4371.8, -18347, 10509, -21205.9, -16834.1, 
0,11,50,30,-500,500,-10599.8, 386.804, 1723.2, -10590.1, 12789, -11259.4, -9536.18, 
0,12,50,30,-100,100,6.15598, 0.61356, 2.42685, 6.10639, 7556, 4.91483, 7.34168, 
0,13,50,30,0,3.14159,-25.8104, 0.586656, 2.4679, -25.8401, 12033, -26.9714, -24.5035, 
0,14,50,30,-30,30,-12.6745, 1.68847, 7.54404, -12.4943, 9274, -16.5567, -9.0127, 
0,15,50,30,-100,100,43275.3, 29167.9, 156909, 34699.9, 3877, 6099.21, 163008, 
0,16,50,30,-10,10,4.12424, 2.42121, 9.28315, 3.53958, 12044, 0.423958, 9.70711, 
0,17,50,30,-100,100,125.913, 26.2224, 129.29, 120.367, 4483, 74.2084, 203.498, 
0,18,50,30,-100,100,19.3788, 5.0867, 22.6015, 18.1172, 6559, 11.8435, 34.445, 
0,2,50,30,-100,100,80.4354, 18.3372, 106.196, 78.4017, 2016, 43.3722, 149.568, 
0,3,50,30,-100,100,354547, 228184, 1.15499e+06, 288001, 3684, 83371.6, 1.23837e+06, 
0,4,50,30,-30,30,-67212.7, 2697.11, 12510.7, -66977.1, 5972, -73201.7, -60691, 
0,5,50,30,-500,500,1.604, 0.133838, 0.579193, 1.59072, 8235, 1.30782, 1.88702, 
0,6,50,30,-30,30,-40.0031, 0.586295, 2.8487, -40.0516, 5228, -41.1005, -38.2518, 
0,7,50,30,-30,30,30.818, 0.547957, 2.44135, 30.779, 15316, 29.8172, 32.2586, 
0,8,50,30,-32,32,-68.104, 2.92474, 12.7385, -68.3239, 9646, -72.1979, -59.4593, 
0,9,50,30,-32,32,61.9409, 10.7418, 49.4605, 61.8795, 14402, 43.9238, 93.3843, 
10,1,50,30,-512,512,5846.63, 261.778, 1178.94, 5864.69, 8329, 5197.29, 6376.23, 
10,10,50,30,-500,500,-8258.74, 675.082, 4249.75, -8172.99, 9897, -10891.5, -6641.77, 
10,11,50,30,-500,500,-7455.05, 651.03, 3030.42, -7335.11, 13635, -9256.35, -6225.93, 
10,12,50,30,-100,100,2.95388, 1.64168, 5.34688, 3.49367, 6845, 0, 5.34688, 
10,13,50,30,0,3.14159,-9.26516, 0.410619, 1.65023, -9.31599, 11965, -10.1061, -8.45586, 
10,14,50,30,-30,30,-2.09995, 0.276003, 1.24761, -2.0994, 8742, -2.81069, -1.56308, 
10,15,50,30,-100,100,1.18092e+09, 1.97344e+08, 9.1912e+08, 1.19637e+09, 4588, 6.81162e+08, 1.60028e+09, 
10,16,50,30,-10,10,134.715, 16.7607, 61.4518, 133.065, 13836, 102.07, 163.522, 
10,17,50,30,-100,100,32626.5, 3243.63, 14641.4, 32729.3, 4293, 25469.5, 40110.9, 
10,18,50,30,-100,100,448.133, 29.4203, 126.221, 453.751, 6624, 373.161, 499.383, 
10,2,50,30,-100,100,31623.7, 3716.78, 19095.1, 31845, 2275, 20291.1, 39386.2, 
10,3,50,30,-100,100,9.72212e+09, 1.96843e+09, 8.57891e+09, 9.60967e+09, 2907, 5.3638e+09, 1.39427e+10, 
10,4,50,30,-30,30,856347, 94111.8, 473053, 874130, 5454, 538946, 1.012e+06, 
10,5,50,30,-500,500,198.184, 22.3606, 85.8119, 197.34, 6368, 149.711, 235.523, 
10,6,50,30,-30,30,-27.002, 0.551313, 2.6656, -26.9107, 5766, -28.6576, -25.992, 
10,7,50,30,-30,30,66.0231, 3.08446, 13.8545, 66.2888, 16591, 57.9529, 71.8074, 
10,8,50,30,-32,32,289.263, 21.2541, 97.3401, 292.299, 10650, 225.76, 323.1, 
10,9,50,30,-32,32,477.015, 9.54722, 43.2101, 477.724, 14547, 451.134, 494.344, 
1,1,50,30,-512,512,3513.74, 381.006, 1953.39, 3504.69, 5455, 2610.26, 4563.65, 
1,10,50,30,-500,500,-12485.5, 711.944, 3303.49, -12587.6, 8777, -14030.6, -10727.2, 
1,11,50,30,-500,500,-8898.69, 787.178, 4010.54, -8864.07, 12818, -11318.8, -7308.21, 
1,12,50,30,-100,100,4.57466, 0.898607, 5.00695, 4.36404, 5776, 3.21162, 8.21857, 
1,13,50,30,0,3.14159,-16.5071, 0.563433, 2.36755, -16.4939, 10825, -17.7209, -15.3534, 
1,14,50,30,-30,30,-4.84232, 0.337644, 1.44788, -4.84103, 8599, -5.57042, -4.12254, 
1,15,50,30,-100,100,47670, 26601.6, 123831, 38167.2, 3416, 18081.9, 141912, 
1,16,50,30,-10,10,1.38978, 0.296872, 1.23597, 1.34827, 12924, 0.906235, 2.1422, 
1,17,50,30,-100,100,146.609, 22.4841, 124.659, 143.557, 2336, 93.3855, 218.044, 
1,18,50,30,-100,100,82.8336, 11.9857, 58.6679, 83.2703, 5704, 64.503, 123.171, 
1,2,50,30,-100,100,107.17, 25.5342, 126.621, 104.73, 2251, 46.0972, 172.719, 
1,3,50,30,-100,100,364011, 204832, 1.07264e+06, 331503, 1893, 55414.5, 1.12805e+06, 
1,4,50,30,-30,30,-28325, 4572.27, 21769.5, -27945.4, 5899, -43227.3, -21457.8, 
1,5,50,30,-500,500,1.66981, 0.159589, 0.791383, 1.65456, 5514, 1.28811, 2.07949, 
1,6,50,30,-30,30,-35.2692, 0.461427, 2.17706, -35.2057, 6869, -36.4199, -34.2429, 
1,7,50,30,-30,30,42.9129, 1.60926, 8.75333, 43.0223, 14423, 37.3696, 46.123, 
1,8,50,30,-32,32,-9.93905, 6.52377, 37.0791, -9.79394, 9447, -32.6465, 4.43259, 
1,9,50,30,-32,32,103.059, 7.88658, 37.123, 103.006, 13921, 86.3949, 123.518, 
2,1,50,30,-512,512,4009.33, 251.087, 1292, 4010.7, 5436, 3275.02, 4567.02, 
2,10,50,30,-500,500,-12023.5, 601.586, 3222, -11902.1, 8855, -14364.5, -11142.5, 
2,11,50,30,-500,500,-8553.52, 490.155, 2122.91, -8521.67, 12574, -9857.45, -7734.55, 
2,12,50,30,-100,100,6.20534, 0.423793, 2.00334, 6.18743, 7736, 5.0035, 7.00684, 
2,13,50,30,0,3.14159,-15.4238, 0.483516, 2.60617, -15.4374, 11474, -17.1641, -14.5579, 
2,14,50,30,-30,30,-3.71648, 0.367231, 1.72667, -3.62253, 9658, -4.76187, -3.0352, 
2,15,50,30,-100,100,1.12317e+07, 3.36781e+06, 1.43379e+07, 1.14417e+07, 3904, 2.93586e+06, 1.72737e+07, 
2,16,50,30,-10,10,11.1881, 1.27633, 5.85517, 11.3332, 13501, 8.04528, 13.9004, 
2,17,50,30,-100,100,2354.3, 311.026, 1408.12, 2344.29, 3736, 1634.93, 3043.05, 
2,18,50,30,-100,100,131.942, 10.196, 38.6542, 134.275, 5814, 112.542, 151.197, 
2,2,50,30,-100,100,2181.28, 304.693, 1205.49, 2176.4, 1705, 1484.82, 2690.3, 
2,3,50,30,-100,100,7.26144e+07, 2.09615e+07, 8.44407e+07, 7.04975e+07, 2839, 2.88045e+07, 1.13245e+08, 
2,4,50,30,-30,30,49253.9, 9901.78, 38807, 48460.5, 4633, 28326.2, 67133.2, 
2,5,50,30,-500,500,14.633, 1.90433, 7.5343, 14.6025, 5492, 10.2801, 17.8144, 
2,6,50,30,-30,30,-33.8315, 0.468665, 2.14226, -33.799, 4967, -35.0851, -32.9428, 
2,7,50,30,-30,30,43.6849, 1.41016, 6.35762, 43.879, 16252, 39.9695, 46.3271, 
2,8,50,30,-32,32,50.2552, 8.00186, 33.3206, 50.7633, 9780, 31.6613, 64.9819, 
2,9,50,30,-32,32,234.115, 10.3134, 47.0133, 235.903, 13630, 205.683, 252.696, 
3,1,50,30,-512,512,5506.08, 230.324, 1089.62, 5519.2, 6562, 4860.54, 5950.16, 
3,10,50,30,-500,500,-10814.8, 546.701, 2430.85, -10738.9, 9015, -12098, -9667.19, 
3,11,50,30,-500,500,-7150.08, 387.37, 1892.87, -7160.3, 12944, -8292.66, -6399.79, 
3,12,50,30,-100,100,10.1804, 0.453574, 1.96769, 10.2805, 6278, 8.8786, 10.8463, 
3,13,50,30,0,3.14159,-16.5719, 0.458106, 1.97004, -16.5717, 10168, -17.73, -15.7599, 
3,14,50,30,-30,30,-4.73189, 0.450572, 2.73389, -4.65716, 8030, -6.67842, -3.94453, 
