algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
0,1,50,30,-512,512,1269.42, 353.259, 1540.39, 1271.96, 8459, 540.988, 2081.37, 
0,10,50,30,-500,500,-18675.4, 948.757, 3933.23, -18632.2, 10379, -21086.6, -17153.4, 
0,11,50,30,-500,500,-10593.1, 527.162, 2594.46, -10616.2, 12701, -11748.4, -9153.95, 
0,12,50,30,-100,100,6.12324, 0.538732, 2.14336, 6.15359, 6775, 5.18486, 7.32822, 
0,13,50,30,0,3.14159,-25.8562, 0.674527, 2.93831, -25.8479, 12040, -27.3376, -24.3993, 
0,14,50,30,-30,30,-12.8888, 1.64847, 8.14533, -12.7507, 9955, -16.7205, -8.57513, 
0,15,50,30,-100,100,48215.6, 32251.9, 161037, 40306, 2680, 10438, 171475, 
0,16,50,30,-10,10,3.24439, 2.46424, 11.1541, 2.6886, 14004, 0.421351, 11.5755, 
0,17,50,30,-100,100,120.884, 21.3666, 102.316, 120.164, 4267, 72.9467, 175.263, 
0,18,50,30,-100,100,19.0831, 3.71678, 17.2478, 18.7685, 6805, 12.3989, 29.6467, 
0,2,50,30,-100,100,73.3046, 17.2126, 73.0467, 73.4462, 1995, 37.9345, 110.981, 
0,3,50,30,-100,100,322285, 225527, 998055, 277746, 2247, 37111.1, 1.03517e+06, 
0,4,50,30,-30,30,-68538.9, 2893.98, 13043.5, -68641.5, 6912, -73768.8, -60725.3, 
0,5,50,30,-500,500,1.57067, 0.113528, 0.524593, 1.57024, 5783, 1.3169, 1.8415, 
0,6,50,30,-30,30,-39.9517, 0.5664, 2.1242, -39.9562, 7188, -40.7701, -38.6459, 
0,7,50,30,-30,30,30.8261, 0.497625, 2.01278, 30.787, 14688, 30.0546, 32.0674, 
0,8,50,30,-32,32,-67.9332, 2.9174, 12.9319, -68.1695, 8140, -73.6908, -60.7588, 
0,9,50,30,-32,32,64.9118, 13.1135, 61.7895, 63.4956, 14583, 40.4505, 102.24, 
10,1,50,30,-512,512,6093.99, 397.791, 1959.48, 6204.26, 7275, 4860.32, 6819.8, 
10,10,50,30,-500,500,-8720.71, 600.184, 2683.78, -8593.52, 12571, -10299.8, -7616.02, 
10,11,50,30,-500,500,-4992.17, 357.2, 1552.68, -4968.83, 15516, -6025.52, -4472.83, 
10,12,50,30,-100,100,11.1751, 0.467917, 2.13776, 11.2826, 7210, 9.67696, 11.8147, 
10,13,50,30,0,3.14159,-13.7365, 0.603219, 2.8418, -13.7229, 13613, -15.2499, -12.4081, 
10,14,50,30,-30,30,-3.61768, 0.369191, 1.90854, -3.56067, 10676, -4.67624, -2.7677, 
10,15,50,30,-100,100,3908.41, 1830.98, 9914.65, 3407.64, 3278, 936.838, 10851.5, 
10,16,50,30,-10,10,0.101815, 0.0273029, 0.138116, 0.102098, 14846, 0.0485481, 0.186664, 
10,17,50,30,-100,100,24.9066, 2.54897, 11.5429, 24.5025, 3550, 20.7449, 32.2878, 
10,18,50,30,-100,100,12.6699, 1.76313, 7.46782, 12.7939, 7468, 9.45196, 16.9198, 
10,2,50,30,-100,100,7.46085, 1.44873, 6.26397, 7.44904, 2278, 4.36198, 10.6259, 
10,3,50,30,-100,100,39265.5, 16453, 71084.4, 35787, 3390, 16120.4, 87204.8, 
10,4,50,30,-30,30,-39403.7, 3243.08, 20227.6, -39408.4, 5642, -50318, -30090.4, 
10,5,50,30,-500,500,1.04681, 0.00924454, 0.0396311, 1.04605, 8573, 1.02749, 1.06712, 
10,6,50,30,-30,30,-33.3829, 0.484753, 1.92508, -33.3733, 6012, -34.4367, -32.5116, 
10,7,50,30,-30,30,50.7195, 2.09905, 12.1659, 50.8619, 16840, 42.7857, 54.9516, 
10,8,50,30,-32,32,-61.5374, 3.38956, 17.9698, -61.3382, 11664, -70.216, -52.2462, 
10,9,50,30,-32,32,15.5194, 2.27578, 10.5698, 15.0166, 15960, 10.3415, 20.9113, 
1,1,50,30,-512,512,2566.79, 475.443, 2097.88, 2634.57, 7201, 1749.38, 3847.26, 
1,10,50,30,-500,500,-13400.9, 1150.08, 6160.25, -13351.5, 10117, -17512.6, -11352.4, 
1,11,50,30,-500,500,-8350.84, 641.999, 3223.12, -8162.45, 13641, -10528.5, -7305.4, 
1,12,50,30,-100,100,8.39357, 1.28148, 4.99697, 8.44275, 6172, 5.50772, 10.5047, 
1,13,50,30,0,3.14159,-17.9681, 0.674604, 3.10858, -17.9501, 9868, -19.4604, -16.3518, 
1,14,50,30,-30,30,-7.02976, 0.616422, 3.37783, -6.96363, 8919, -9.20607, -5.82824, 
1,15,50,30,-100,100,948.147, 825.836, 3622.31, 716.928, 2175, 74.0581, 3696.37, 
1,16,50,30,-10,10,0.286387, 0.28967, 1.77397, 0.171244, 12881, 0.029882, 1.80385, 
1,17,50,30,-100,100,18.3067, 4.51422, 28.2549, 17.0842, 3046, 13.927, 42.1819, 
1,18,50,30,-100,100,44.5833, 19.6398, 78.1603, 38.6086, 5561, 16.3828, 94.5432, 
1,2,50,30,-100,100,3.68704, 1.59391, 8.60465, 3.37515, 1668, 0.974079, 9.57873, 
1,3,50,30,-100,100,13903.4, 13417.4, 57082.4, 9606.85, 1911, 1232.48, 58314.9, 
1,4,50,30,-30,30,-48536.2, 4565.49, 19260.2, -48400.1, 4626, -59951.1, -40690.9, 
1,5,50,30,-500,500,0.98207, 0.0602616, 0.270682, 1.00835, 5452, 0.788987, 1.05967, 
1,6,50,30,-30,30,-36.3418, 0.547911, 2.19006, -36.4484, 4954, -37.4644, -35.2744, 
1,7,50,30,-30,30,41.3667, 1.52538, 6.22364, 41.4825, 14498, 38.4274, 44.6511, 
1,8,50,30,-32,32,-62.8149, 6.64273, 28.7602, -64.2295, 8512, -76.9348, -48.1746, 
1,9,50,30,-32,32,20.9297, 4.96611, 24.4356, 20.8821, 14281, 12.3951, 36.8307, 
2,1,50,30,-512,512,3216.52, 272.979, 1217.42, 3243.32, 5492, 2396.58, 3614.01, 
2,10,50,30,-500,500,-12859.8, 534.761, 2387.18, -12817.9, 8802, -14196.6, -11809.4, 
2,11,50,30,-500,500,-7097.04, 275.862, 1281.29, -7066.9, 13824, -7884.51, -6603.22, 
2,12,50,30,-100,100,10.4523, 0.262864, 1.08401, 10.5649, 6210, 9.89834, 10.9823, 
2,13,50,30,0,3.14159,-17.1145, 0.504972, 2.20463, -17.0868, 10864, -18.4373, -16.2327, 
2,14,50,30,-30,30,-7.24984, 0.743351, 3.40068, -7.13905, 8663, -9.10589, -5.70521, 
2,15,50,30,-100,100,92265.6, 47139.4, 224007, 83129.7, 3298, 35411, 259418, 
2,16,50,30,-10,10,0.538559, 0.121087, 0.688398, 0.515065, 12937, 0.251204, 0.939602, 
2,17,50,30,-100,100,114.281, 19.9128, 85.4536, 110.955, 3086, 82.5664, 168.02, 
2,18,50,30,-100,100,26.5914, 3.22574, 13.9325, 26.2467, 5770, 19.0688, 33.0014, 
