algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
0,1,50,30,-512,512,268.961, 496.551, 2439.38, 343.993, 5799, -825.674, 1613.7, 
0,10,50,30,-500,500,-18702.6, 1096.17, 5109.11, -18657.4, 9953, -20909.9, -15800.8, 
0,11,50,30,-500,500,-10772.4, 390.275, 1418.93, -10779.9, 14254, -11398.2, -9979.31, 
0,12,50,30,-100,100,6.25368, 0.475189, 2.4347, 6.26646, 6140, 4.90026, 7.33497, 
0,13,50,30,0,3.14159,-25.7852, 0.709935, 2.68471, -25.7607, 11537, -26.9945, -24.3098, 
0,14,50,30,-30,30,-13.034, 1.38815, 5.64803, -12.9618, 8686, -15.448, -9.79993, 
0,15,50,30,-100,100,42494.8, 29075.5, 169439, 33637.8, 4219, 10194.3, 179634, 
0,16,50,30,-10,10,3.4301, 2.16574, 10.7935, 3.19811, 12570, 0.557197, 11.3507, 
0,17,50,30,-100,100,127.312, 24.2828, 101.146, 129.642, 3802, 77.5761, 178.722, 
0,18,50,30,-100,100,19.6778, 4.43201, 21.4829, 19.0766, 6130, 11.1406, 32.6235, 
0,2,50,30,-100,100,80.6453, 24.6765, 109.822, 76.9558, 2813, 36.3199, 146.142, 
0,3,50,30,-100,100,355889, 226438, 918757, 269257, 2222, 60979.5, 979736, 
0,4,50,30,-30,30,-68000.9, 3583.07, 17012.5, -68245, 4919, -75050.8, -58038.3, 
0,5,50,30,-500,500,1.60727, 0.151549, 0.73764, 1.60099, 5709, 1.34691, 2.08455, 
0,6,50,30,-30,30,-39.9524, 0.706414, 3.33907, -39.9819, 5250, -41.3619, -38.0228, 
0,7,50,30,-30,30,30.759, 0.538067, 2.47338, 30.6114, 16115, 29.8291, 32.3025, 
0,8,50,30,-32,32,-67.674, 3.43703, 20.5792, -68.5312, 10096, -73.6421, -53.0628, 
0,9,50,30,-32,32,61.4439, 8.96101, 41.7691, 61.2009, 14425, 48.0403, 89.8094, 
10,1,50,30,-512,512,4775.56, 401.166, 1831.85, 4815.28, 6003, 3881.01, 5712.86, 
10,10,50,30,-500,500,-8652.9, 692.224, 3680.64, -8626.91, 9646, -11002.6, -7321.99, 
10,11,50,30,-500,500,-5505.03, 329.12, 1315.99, -5460.55, 14483, -6181.71, -4865.72, 
10,12,50,30,-100,100,12.2399, 0.13542, 0.678559, 12.2499, 6616, 11.7929, 12.4715, 
10,13,50,30,0,3.14159,-13.663, 0.615459, 2.90036, -13.6761, 10198, -15.4326, -12.5322, 
10,14,50,30,-30,30,-3.55324, 0.377661, 1.89403, -3.52328, 9281, -4.72821, -2.83418, 
10,15,50,30,-100,100,4344.44, 2014.57, 10951.4, 4113.83, 3938, 1886.37, 12837.8, 
10,16,50,30,-10,10,0.114756, 0.0314706, 0.136913, 0.110047, 13496, 0.059103, 0.196016, 
10,17,50,30,-100,100,25.0161, 2.87942, 15.4536, 25.3227, 2410, 17.36, 32.8136, 
10,18,50,30,-100,100,12.9702, 1.98503, 8.42903, 12.9909, 6667, 7.51026, 15.9393, 
10,2,50,30,-100,100,7.91937, 1.69183, 7.41115, 7.80156, 2038, 4.75911, 12.1703, 
